frame,time_s,overall_clearance_m,ee_clearance_m,left_finger_clearance_m,right_finger_clearance_m,target_actual_error_m,normal_speed_into_table_m_s
147,4.902450000000001,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
148,4.9358,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
149,4.969150000000001,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
150,5.0025,0.04405279830098152,inf,0.04405279830098152,0.061980146914720535,4.304372851038352e-06,0.0
151,5.035850000000001,0.04513757303357124,inf,0.04513757303357124,0.06453941762447357,4.602776698447997e-06,0.0
152,5.0692,0.04634438827633858,inf,0.04634438827633858,0.06705732643604279,4.4679900383926e-06,0.0
153,5.102550000000001,0.047672439366579056,inf,0.047672439366579056,0.06953217089176178,4.457714112504618e-06,0.0
154,5.1359,0.04912056401371956,inf,0.04912056401371956,0.07196246087551117,4.361793344287435e-06,0.0
155,5.169250000000001,0.05068688467144966,inf,0.05068688467144966,0.07434691488742828,4.601614364219131e-06,0.0
156,5.2026,0.0523696132004261,inf,0.0523696132004261,0.07668508589267731,4.619179890141822e-06,0.0
157,5.235950000000001,0.05416565015912056,inf,0.05416565015912056,0.07897602021694183,4.593935500452062e-06,0.0
158,5.2693,0.056072283536195755,inf,0.056072283536195755,0.08121971786022186,4.37566723121563e-06,0.0
159,5.302650000000001,0.05808543041348457,inf,0.05808543041348457,0.08341582119464874,4.6073396333667915e-06,0.0
160,5.336,0.060201216489076614,inf,0.060201216489076614,0.08556465804576874,4.4036655708623584e-06,0.0
161,5.369350000000001,0.062415171414613724,inf,0.062415171414613724,0.08766673505306244,4.4669695853372104e-06,0.0
162,5.402700000000001,0.06472261250019073,inf,0.06472261250019073,0.08972285687923431,4.4027319745509885e-06,0.0
163,5.436050000000001,0.06711770594120026,inf,0.06711770594120026,0.09173347055912018,4.590839580487227e-06,0.0
164,5.469400000000001,0.06959547102451324,inf,0.06959547102451324,0.09370039403438568,4.477560196392005e-06,0.0
165,5.502750000000001,0.07214947044849396,inf,0.07214947044849396,0.09562443196773529,4.5875653995608445e-06,0.0
166,5.536100000000001,0.07477407157421112,inf,0.07477407157421112,0.09750781953334808,4.463626737560844e-06,0.0
167,5.569450000000001,0.07746194303035736,inf,0.07746194303035736,0.09935157001018524,4.572299530991586e-06,0.0
168,5.602800000000001,0.08020724356174469,inf,0.08020724356174469,0.1011582463979721,4.780592462338973e-06,0.0
169,5.636150000000001,0.08300264179706573,inf,0.08300264179706573,0.10292987525463104,4.747292223328259e-06,0.0
170,5.669500000000001,0.08584125339984894,inf,0.08584125339984894,0.1046687513589859,4.773051387019223e-06,0.0
171,5.702850000000001,0.08871571719646454,inf,0.08871571719646454,0.10637713968753815,4.5867732296756e-06,0.0
172,5.736200000000001,0.09161855280399323,inf,0.09161855280399323,0.10805748403072357,4.682971393776825e-06,0.0
173,5.769550000000001,0.0945429652929306,inf,0.0945429652929306,0.10971294343471527,4.5497072278521955e-06,0.0
174,5.802900000000001,0.09748102724552155,inf,0.09748102724552155,0.11134578287601471,4.864775746682426e-06,0.0
175,5.836250000000001,0.10042579472064972,inf,0.10042579472064972,0.11295916140079498,4.686286956712138e-06,0.0
176,5.869600000000001,0.10336948931217194,inf,0.10336948931217194,0.1145554929971695,4.774391527462285e-06,0.0
177,5.902950000000001,0.1063055545091629,inf,0.1063055545091629,0.11613835394382477,4.874410933553008e-06,0.0
178,5.936300000000001,0.10922618210315704,inf,0.10922618210315704,0.11771003901958466,4.838351287617115e-06,0.0
179,5.969650000000001,0.11212457716464996,inf,0.11212457716464996,0.11927361786365509,4.624837856681552e-06,0.0
180,6.003000000000001,0.11499379575252533,inf,0.11499379575252533,0.12083189189434052,4.7759358494658954e-06,0.0
181,6.0363500000000005,0.11782719194889069,inf,0.11782719194889069,0.1223876029253006,5.028248324379092e-06,0.0
182,6.069700000000001,0.12061847746372223,inf,0.12061847746372223,0.12394370138645172,5.07132835991797e-06,0.0
183,6.1030500000000005,0.12336163222789764,inf,0.12336163222789764,0.12550295889377594,4.8529136620345525e-06,0.0
184,6.136400000000001,0.12605030834674835,inf,0.12605030834674835,0.12706758081912994,5.000716100767022e-06,0.0
185,6.1697500000000005,0.12863411009311676,inf,0.12867318093776703,0.12863411009311676,5.0786734391294885e-06,0.0
186,6.203100000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,0.0
