run_label,frame,time_s,phase,rope_center_z_m,rope_top_global_z_m,local_rope_top_z_m,target_z_m,gripper_center_z_m,active_box_center_z_m,active_box_bottom_z_m,active_box_top_z_m,active_surface_z_m,surface_to_local_rope_top_z_m,target_to_local_rope_top_z_m,gripper_center_to_local_rope_top_z_m
c12_direct_baseline,12,0.40020000000000006,unknown,0.23783127963542938,0.28478971123695374,0.27689266204833984,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3309937119483948,0.05410104990005493,0.10853821039199829,0.10853821039199829
c12_direct_baseline,13,0.43355000000000005,unknown,0.23781225085258484,0.2847873866558075,0.27671676874160767,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33099478483200073,0.054278016090393066,0.10871410369873047,0.10871410369873047
c12_direct_baseline,14,0.4669000000000001,unknown,0.2377866506576538,0.2847850024700165,0.2764756977558136,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3309969902038574,0.05452129244804382,0.10895517468452454,0.10895517468452454
c12_direct_baseline,15,0.5002500000000001,unknown,0.2377593070268631,0.2847854793071747,0.2761867046356201,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100005984306335,0.05481335520744324,0.10924416780471802,0.10924416780471802
c12_direct_baseline,16,0.5336000000000001,unknown,0.23772653937339783,0.2847853899002075,0.275857150554657,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3310035169124603,0.055146366357803345,0.10957372188568115,0.10957372188568115
c12_direct_baseline,17,0.5669500000000001,unknown,0.2376951277256012,0.2847837805747986,0.27557235956192017,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100625872612,0.05543389916419983,0.10985851287841797,0.10985851287841797
c12_direct_baseline,18,0.6003000000000001,unknown,0.23766830563545227,0.2847815454006195,0.27548104524612427,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3310081660747528,0.05552712082862854,0.10994982719421387,0.10994982719421387
c12_direct_baseline,19,0.63365,unknown,0.23764774203300476,0.2847791016101837,0.275290846824646,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100923895835876,0.05571839213371277,0.11014002561569214,0.11014002561569214
c12_direct_baseline,20,0.667,unknown,0.2376352846622467,0.28477734327316284,0.2751985192298889,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100950717926025,0.05581098794937134,0.11023235321044922,0.11023235321044922
c12_direct_baseline,21,0.7003500000000001,unknown,0.23762831091880798,0.28477585315704346,0.2751533091068268,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100926876068115,0.05585595965385437,0.11027756333351135,0.11027756333351135
c12_direct_baseline,22,0.7337000000000001,unknown,0.2376251518726349,0.2847766876220703,0.2751348316669464,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3310088813304901,0.0558740496635437,0.11029604077339172,0.11029604077339172
